,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación
22,4,14,114316,A0200001,13,13110,14,12,16,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS
23,1,14,114316,A0200001,13,13110,0,20,25,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS
24,2,14,114316,A0200002,13,13110,8,9,6,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA
25,8,14,114316,A0200002,13,13110,10,10,9,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA
26,12,14,114316,A0200002,13,13110,9,3,7,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA
27,12,14,114316,A0200001,13,13110,12,12,20,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS
28,8,14,114316,A0200001,13,13110,18,15,16,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS
29,1,11,111376,A0200002,13,13101,28,29,16,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago,LACTANCIA MATERNA EXCLUSIVA
30,7,12,112317,A0200002,13,13113,4,2,1,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Ossandon,La Reina,LACTANCIA MATERNA EXCLUSIVA
31,10,9,200609,A0200001,13,13104,3,2,4,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,MENORES CONTROLADOS
32,12,14,114331,A0200002,13,13110,16,22,8,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,LACTANCIA MATERNA EXCLUSIVA
33,12,14,114331,A0200001,13,13110,28,29,13,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,MENORES CONTROLADOS
34,1,9,200347,A0200002,13,13104,1,0,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,LACTANCIA MATERNA EXCLUSIVA
35,1,9,200347,A0200001,13,13104,2,2,5,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,MENORES CONTROLADOS
36,5,9,200347,A0200002,13,13104,1,1,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,LACTANCIA MATERNA EXCLUSIVA
37,5,9,200347,A0200001,13,13104,2,2,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,MENORES CONTROLADOS
38,6,9,200347,A0200001,13,13104,4,4,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,MENORES CONTROLADOS
39,1,11,111376,A0200001,13,13101,44,44,38,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago,MENORES CONTROLADOS
40,5,11,111370,A0200002,13,13101,18,9,9,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago,LACTANCIA MATERNA EXCLUSIVA
41,2,11,111376,A0200002,13,13101,22,11,12,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago,LACTANCIA MATERNA EXCLUSIVA
42,8,11,111370,A0200002,13,13101,21,27,13,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago,LACTANCIA MATERNA EXCLUSIVA
43,8,11,111370,A0200001,13,13101,30,36,30,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago,MENORES CONTROLADOS
44,9,9,200609,A0200002,13,13104,2,2,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA
45,1,14,114331,A0200002,13,13110,20,8,16,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,LACTANCIA MATERNA EXCLUSIVA
46,2,11,111370,A0200002,13,13101,11,17,20,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago,LACTANCIA MATERNA EXCLUSIVA
47,9,9,200609,A0200001,13,13104,3,2,3,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,MENORES CONTROLADOS
48,2,11,111370,A0200001,13,13101,30,33,31,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago,MENORES CONTROLADOS
49,7,13,113324,A0200002,13,13105,7,12,5,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA
50,7,13,113324,A0200001,13,13105,15,20,12,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS
51,11,13,113324,A0200002,13,13105,2,9,4,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA
52,11,13,113324,A0200001,13,13105,4,16,10,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS
53,7,9,109302,A0200002,13,13104,10,12,16,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA
54,7,12,112317,A0200001,13,13113,6,2,1,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Ossandon,La Reina,MENORES CONTROLADOS
55,6,9,109302,A0200001,13,13104,6,,7,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,MENORES CONTROLADOS
56,9,9,109302,A0200002,13,13104,8,8,8,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA
57,4,10,110320,A0200002,13,13126,4,9,4,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
58,9,10,110320,A0200002,13,13126,10,10,5,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
59,9,10,110320,A0200001,13,13126,15,15,6,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
60,8,10,110320,A0200002,13,13126,7,2,5,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
61,8,10,110320,A0200001,13,13126,13,8,9,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
62,7,10,110320,A0200002,13,13126,8,9,12,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
63,7,10,110320,A0200001,13,13126,16,14,19,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
64,5,10,110320,A0200002,13,13126,10,3,8,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
65,5,10,110320,A0200001,13,13126,17,8,9,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
66,6,10,110320,A0200002,13,13126,6,12,13,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
67,6,10,110320,A0200001,13,13126,12,17,17,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
68,3,10,110320,A0200002,13,13126,5,7,4,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
69,3,10,110320,A0200001,13,13126,9,17,16,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
70,4,10,110320,A0200001,13,13126,8,20,7,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
71,2,10,110320,A0200002,13,13126,5,3,5,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
72,2,10,110320,A0200001,13,13126,18,6,14,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
73,10,10,110320,A0200002,13,13126,6,12,9,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
74,10,10,110320,A0200001,13,13126,9,16,15,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
75,1,10,110320,A0200002,13,13126,9,3,6,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
76,1,10,110320,A0200001,13,13126,20,12,11,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
77,12,10,110320,A0200002,13,13126,6,6,13,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
78,12,10,110320,A0200001,13,13126,12,9,16,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
79,11,10,110320,A0200002,13,13126,7,12,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
80,11,10,110320,A0200001,13,13126,12,19,12,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Franco,Quinta Normal,MENORES CONTROLADOS
81,9,10,200342,A0200002,13,13126,2,3,0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
82,9,10,200342,A0200001,13,13126,3,3,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
83,4,10,200342,A0200002,13,13126,1,3,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
84,4,10,200342,A0200001,13,13126,1,5,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
85,1,10,200342,A0200002,13,13126,0,0,5,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
86,1,10,200342,A0200001,13,13126,0,1,5,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
87,3,10,200342,A0200002,13,13126,2,4,0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
88,3,10,200342,A0200001,13,13126,3,5,0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
89,2,10,200342,A0200002,13,13126,1,0,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
90,2,10,200342,A0200001,13,13126,2,0,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
91,6,10,200342,A0200002,13,13126,3,0,4,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
92,6,10,200342,A0200001,13,13126,7,1,5,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
93,5,10,200342,A0200002,13,13126,3,1,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
94,5,10,200342,A0200001,13,13126,3,2,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
95,12,10,200342,A0200002,13,13126,,2,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
96,12,10,200342,A0200001,13,13126,,3,4,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
97,10,10,200342,A0200002,13,13126,2,3,4,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
98,10,10,200342,A0200001,13,13126,3,4,4,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
99,7,10,200342,A0200002,13,13126,1,5,4,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
100,7,10,200342,A0200001,13,13126,3,5,7,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
101,11,10,200342,A0200002,13,13126,2,1,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
102,11,10,200342,A0200001,13,13126,4,4,0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,MENORES CONTROLADOS
103,8,10,200342,A0200002,13,13126,2,3,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Plaza México,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
104,7,10,110325,A0200002,13,13126,8,12,5,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
105,7,10,110325,A0200001,13,13126,12,15,6,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
106,4,10,110325,A0200002,13,13126,12,7,7,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
107,3,10,110725,A0200002,13,13126,2,1,0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
108,3,10,110725,A0200001,13,13126,2,1,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
109,4,10,110325,A0200001,13,13126,16,9,13,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
110,6,10,110325,A0200002,13,13126,7,8,11,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
111,6,10,110325,A0200001,13,13126,9,9,13,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
112,2,10,110725,A0200002,13,13126,,1,,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
113,2,10,110725,A0200001,13,13126,0,1,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
114,1,10,110325,A0200001,13,13126,8,11,14,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
115,12,10,110325,A0200002,13,13126,2,4,6,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
116,12,10,110325,A0200001,13,13126,6,7,6,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
117,12,10,110725,A0200002,13,13126,1,1,,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
118,12,10,110725,A0200001,13,13126,1,1,,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
119,10,10,110325,A0200002,13,13126,7,9,11,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
120,10,10,110325,A0200001,13,13126,10,13,14,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
121,9,10,110325,A0200002,13,13126,10,9,5,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
122,9,10,110325,A0200001,13,13126,12,13,13,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
123,9,10,110725,A0200002,13,13126,,2,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
124,9,10,110725,A0200001,13,13126,1,2,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
125,5,10,110725,A0200002,13,13126,0,2,3,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
126,5,10,110725,A0200001,13,13126,1,2,3,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
127,8,10,110325,A0200002,13,13126,12,9,11,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
128,8,10,110325,A0200001,13,13126,14,12,15,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
129,4,10,110725,A0200002,13,13126,2,,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
130,4,10,110725,A0200001,13,13126,2,0,3,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
131,5,10,110325,A0200002,13,13126,7,7,7,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
132,5,10,110325,A0200001,13,13126,10,10,9,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
133,6,10,110725,A0200002,13,13126,1,2,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
134,6,10,110725,A0200001,13,13126,1,2,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
135,3,10,110325,A0200002,13,13126,5,9,5,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
136,3,10,110325,A0200001,13,13126,8,10,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
137,11,10,110725,A0200002,13,13126,2,,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
138,10,10,110725,A0200002,13,13126,,,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
139,10,10,110725,A0200001,13,13126,1,,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
140,7,10,110725,A0200002,13,13126,1,1,0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
141,7,10,110725,A0200001,13,13126,1,1,0,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
142,11,10,110325,A0200002,13,13126,8,8,9,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
143,11,10,110325,A0200001,13,13126,10,12,12,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
144,8,10,110725,A0200002,13,13126,,1,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
145,8,10,110725,A0200001,13,13126,,2,1,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
146,1,10,110325,A0200002,13,13126,8,7,8,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
147,12,13,113324,A0200002,13,13105,6,7,6,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA
148,12,13,113324,A0200001,13,13105,11,14,12,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS
149,2,9,200609,A0200002,13,13104,1,,,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA
150,2,10,110325,A0200002,13,13126,5,6,7,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
151,2,10,110325,A0200001,13,13126,6,7,7,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Garín,Quinta Normal,MENORES CONTROLADOS
152,1,10,110725,A0200002,13,13126,2,1,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
153,1,10,110725,A0200001,13,13126,2,3,2,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar Antumalal,Quinta Normal,MENORES CONTROLADOS
154,6,10,110360,A0200001,13,13128,42,19,22,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Renca,Renca,MENORES CONTROLADOS
